what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1379929750067
arch,sysinfo,,,"x86_64",1379929750067
ws,sysinfo,,,"win32",1379929750067
locale,sysinfo,,,"en_US",1379929750067
processors,sysinfo,,,"12",1379929750067
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1379929750067
java.runtime.version,sysinfo,,,"1.7.0_09-b05",1379929750067
java.specification.name,sysinfo,,,"Java Platform API Specification",1379929750067
java.specification.vendor,sysinfo,,,"Oracle Corporation",1379929750067
java.specification.version,sysinfo,,,"1.7",1379929750067
java.vendor,sysinfo,,,"Oracle Corporation",1379929750067
java.version,sysinfo,,,"1.7.0_09",1379929750067
java.vm.info,sysinfo,,,"mixed mode",1379929750067
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1379929750067
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1379929750067
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1379929750067
java.vm.specification.version,sysinfo,,,"1.7",1379929750067
java.vm.vendor,sysinfo,,,"Oracle Corporation",1379929750067
java.vm.version,sysinfo,,,"23.5-b02",1379929750067
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1379929750373
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1379929750378
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1379929750392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379929754206
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379929759695
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379929766181
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379929839686
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1379929839691
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1379929839691
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379929843612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379930140804
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379930144841
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379930258033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379930259156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379930260438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379930265579
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379930657035
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1379930657039
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1379930657039
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379930659052
